official_full,first,middle,last,birthday,gender,start,end,state,district,party
Martha Roby,Martha,,Roby,1976-07-27,F,2013-01-03,2015-01-03,AL,2,Republican
David P. Roe,David,P.,Roe,1945-07-21,M,2013-01-03,2015-01-03,TN,1,Republican
Harold Rogers,Harold,,Rogers,1937-12-31,M,2013-01-03,2015-01-03,KY,5,Republican
Mike Rogers,Mike,,Rogers,1963-06-02,M,2013-01-03,2015-01-03,MI,8,Republican
Mike Rogers,Mike,,Rogers,1958-07-16,M,2013-01-03,2015-01-03,AL,3,Republican
Dana Rohrabacher,Dana,T.,Rohrabacher,1947-06-21,M,2013-01-03,2015-01-03,CA,48,Republican
Todd Rokita,Todd,,Rokita,1970-02-09,M,2013-01-03,2015-01-03,IN,4,Republican
Thomas J. Rooney,Thomas,J.,Rooney,1970-11-21,M,2013-01-03,2015-01-03,FL,17,Republican
Ileana Ros-Lehtinen,Ileana,,Ros-Lehtinen,1952-07-15,F,2013-01-03,2015-01-03,FL,27,Republican
Peter J. Roskam,Peter,J.,Roskam,1961-09-13,M,2013-01-03,2015-01-03,IL,6,Republican
Dennis A. Ross,Dennis,A.,Ross,1959-10-18,M,2013-01-03,2015-01-03,FL,15,Republican
Lucille Roybal-Allard,Lucille,,Roybal-Allard,1941-06-12,F,2013-01-03,2015-01-03,CA,40,Democrat
Edward R. Royce,Edward,R.,Royce,1951-10-12,M,2013-01-03,2015-01-03,CA,39,Republican
Jon Runyan,Jon,,Runyan,1973-11-27,M,2013-01-03,2015-01-03,NJ,3,Republican
C. A. Dutch Ruppersberger,C.,A. Dutch,Ruppersberger,1946-01-31,M,2013-01-03,2015-01-03,MD,2,Democrat
Bobby L. Rush,Bobby,L.,Rush,1946-11-23,M,2013-01-03,2015-01-03,IL,1,Democrat
Paul Ryan,Paul,D.,Ryan,1970-01-29,M,2013-01-03,2015-01-03,WI,1,Republican
Tim Ryan,Tim,J.,Ryan,1973-07-16,M,2013-01-03,2015-01-03,OH,13,Democrat
Gregorio Kilili Camacho Sablan,Gregorio,Kilili Camacho,Sablan,1955-01-19,M,2013-01-03,2015-01-03,MP,0,Democrat
Loretta Sanchez,Loretta,B.,Sanchez,1960-01-07,F,2013-01-03,2015-01-03,CA,46,Democrat
John P. Sarbanes,John,P.,Sarbanes,1962-05-22,M,2013-01-03,2015-01-03,MD,3,Democrat
Steve Scalise,Steve,Joseph,Scalise,1965-10-06,M,2013-01-03,2015-01-03,LA,1,Republican
Janice D. Schakowsky,Janice,D.,Schakowsky,1944-05-26,F,2013-01-03,2015-01-03,IL,9,Democrat
Adam B. Schiff,Adam,B.,Schiff,1960-06-22,M,2013-01-03,2015-01-03,CA,28,Democrat
Aaron Schock,Aaron,,Schock,1981-05-28,M,2013-01-03,2015-01-03,IL,18,Republican
Kurt Schrader,Kurt,,Schrader,1951-10-19,M,2013-01-03,2015-01-03,OR,5,Democrat
Allyson Y. Schwartz,Allyson,Y.,Schwartz,1948-10-03,F,2013-01-03,2015-01-03,PA,13,Democrat
David Schweikert,David,,Schweikert,1962-03-03,M,2013-01-03,2015-01-03,AZ,6,Republican
Austin Scott,Austin,,Scott,1969-12-10,M,2013-01-03,2015-01-03,GA,8,Republican
David Scott,David,,Scott,1946-06-27,M,2013-01-03,2015-01-03,GA,13,Democrat
"Robert C. ""Bobby"" Scott",Robert,C.,Scott,1947-04-30,M,2013-01-03,2015-01-03,VA,3,Democrat
F. James Sensenbrenner Jr.,F.,James,Sensenbrenner,1943-06-14,M,2013-01-03,2015-01-03,WI,5,Republican
José E. Serrano,José,E.,Serrano,1943-10-24,M,2013-01-03,2015-01-03,NY,15,Democrat
Pete Sessions,Pete,A.,Sessions,1955-03-22,M,2013-01-03,2015-01-03,TX,32,Republican
Terri A. Sewell,Terri,A.,Sewell,1965-01-01,F,2013-01-03,2015-01-03,AL,7,Democrat
Brad Sherman,Brad,J.,Sherman,1954-10-24,M,2013-01-03,2015-01-03,CA,30,Democrat
John Shimkus,John,M.,Shimkus,1958-02-21,M,2013-01-03,2015-01-03,IL,15,Republican
Bill Shuster,Bill,,Shuster,1961-01-10,M,2013-01-03,2015-01-03,PA,9,Republican
Michael K. Simpson,Michael,K.,Simpson,1950-09-08,M,2013-01-03,2015-01-03,ID,2,Republican
Albio Sires,Albio,,Sires,1951-01-26,M,2013-01-03,2015-01-03,NJ,8,Democrat
Louise McIntosh Slaughter,Louise,McIntosh,Slaughter,1929-08-14,F,2013-01-03,2015-01-03,NY,25,Democrat
Adam Smith,Adam,,Smith,1965-06-15,M,2013-01-03,2015-01-03,WA,9,Democrat
Adrian Smith,Adrian,,Smith,1970-12-19,M,2013-01-03,2015-01-03,NE,3,Republican
Christopher H. Smith,Christopher,H.,Smith,1953-03-04,M,2013-01-03,2015-01-03,NJ,4,Republican
Lamar Smith,Lamar,S.,Smith,1947-11-19,M,2013-01-03,2015-01-03,TX,21,Republican
Steve Southerland II,Steve,,Southerland,1965-10-10,M,2013-01-03,2015-01-03,FL,2,Republican
Jackie Speier,Jackie,,Speier,1950-05-14,F,2013-01-03,2015-01-03,CA,14,Democrat
Steve Stivers,Steve,,Stivers,1965-03-24,M,2013-01-03,2015-01-03,OH,15,Republican
Marlin A. Stutzman,Marlin,A.,Stutzman,1976-08-31,M,2013-01-03,2015-01-03,IN,3,Republican
Linda T. Sánchez,Linda,T.,Sánchez,1969-01-28,F,2013-01-03,2015-01-03,CA,38,Democrat
Lee Terry,Lee,R.,Terry,1962-01-29,M,2013-01-03,2015-01-03,NE,2,Republican
Bennie G. Thompson,Bennie,G.,Thompson,1948-01-28,M,2013-01-03,2015-01-03,MS,2,Democrat
Mike Thompson,Mike,Michael,Thompson,1951-01-24,M,2013-01-03,2015-01-03,CA,5,Democrat
Glenn Thompson,Glenn,,Thompson,1959-07-27,M,2013-01-03,2015-01-03,PA,5,Republican
Mac Thornberry,Mac,M.,Thornberry,1958-07-15,M,2013-01-03,2015-01-03,TX,13,Republican
Patrick J. Tiberi,Patrick,J.,Tiberi,1962-10-21,M,2013-01-03,2015-01-03,OH,12,Republican
John F. Tierney,John,F.,Tierney,1951-09-18,M,2013-01-03,2015-01-03,MA,6,Democrat
Scott R. Tipton,Scott,R.,Tipton,1956-11-09,M,2013-01-03,2015-01-03,CO,3,Republican
Paul Tonko,Paul,,Tonko,1949-06-18,M,2013-01-03,2015-01-03,NY,20,Democrat
Niki Tsongas,Niki,S.,Tsongas,1946-04-26,F,2013-01-03,2015-01-03,MA,3,Democrat
Michael R. Turner,Michael,R.,Turner,1960-01-11,M,2013-01-03,2015-01-03,OH,10,Republican
Fred Upton,Fred,Stephen,Upton,1953-04-23,M,2013-01-03,2015-01-03,MI,6,Republican
Chris Van Hollen,Chris,,Van Hollen,1959-01-10,M,2013-01-03,2015-01-03,MD,8,Democrat
Nydia M. Velázquez,Nydia,M.,Velázquez,1953-03-28,F,2013-01-03,2015-01-03,NY,7,Democrat
Peter J. Visclosky,Peter,J.,Visclosky,1949-08-13,M,2013-01-03,2015-01-03,IN,1,Democrat
Tim Walberg,Tim,,Walberg,1951-04-12,M,2013-01-03,2015-01-03,MI,7,Republican
Greg Walden,Greg,P.,Walden,1957-01-10,M,2013-01-03,2015-01-03,OR,2,Republican
Timothy J. Walz,Timothy,James,Walz,1964-04-06,M,2013-01-03,2015-01-03,MN,1,Democrat
Debbie Wasserman Schultz,Debbie,,Wasserman Schultz,1966-09-27,F,2013-01-03,2015-01-03,FL,23,Democrat
Maxine Waters,Maxine,,Waters,1938-08-15,F,2013-01-03,2015-01-03,CA,43,Democrat
Melvin L. Watt,Melvin,L.,Watt,1945-08-26,M,2013-01-03,2015-01-03,NC,12,Democrat
Henry A. Waxman,Henry,A.,Waxman,1939-09-12,M,2013-01-03,2015-01-03,CA,33,Democrat
Daniel Webster,Daniel,,Webster,1949-04-27,M,2013-01-03,2015-01-03,FL,10,Republican
Peter Welch,Peter,,Welch,1947-05-02,M,2013-01-03,2015-01-03,VT,0,Democrat
Lynn A. Westmoreland,Lynn,A.,Westmoreland,1950-04-02,M,2013-01-03,2015-01-03,GA,3,Republican
Ed Whitfield,Ed,,Whitfield,1943-05-25,M,2013-01-03,2015-01-03,KY,1,Republican
Joe Wilson,Joe,G.,Wilson,1947-07-31,M,2013-01-03,2015-01-03,SC,2,Republican
Frederica S. Wilson,Frederica,S.,Wilson,1942-11-05,F,2013-01-03,2015-01-03,FL,24,Democrat
Robert J. Wittman,Robert,J.,Wittman,1959-02-03,M,2013-01-03,2015-01-03,VA,1,Republican
Frank R. Wolf,Frank,R.,Wolf,1939-01-30,M,2013-01-03,2015-01-03,VA,10,Republican
Steve Womack,Steve,,Womack,1957-02-18,M,2013-01-03,2015-01-03,AR,3,Republican
Rob Woodall,Rob,,Woodall,1970-02-11,M,2013-01-03,2015-01-03,GA,7,Republican
John A. Yarmuth,John,A.,Yarmuth,1947-11-04,M,2013-01-03,2015-01-03,KY,3,Democrat
Kevin Yoder,Kevin,,Yoder,1976-01-08,M,2013-01-03,2015-01-03,KS,3,Republican
C. W. Bill Young,C.,W. Bill,Young,1930-12-16,M,2013-01-03,2015-01-03,FL,13,Republican
Don Young,Don,E.,Young,1933-06-09,M,2013-01-03,2015-01-03,AK,0,Republican
Todd C. Young,Todd,C.,Young,1972-08-24,M,2013-01-03,2015-01-03,IN,9,Republican
Janice Hahn,Janice,,Hahn,1952-03-30,F,2013-01-03,2015-01-03,CA,44,Democrat
Mark E. Amodei,Mark,E.,Amodei,1958-06-12,M,2013-01-03,2015-01-03,NV,2,Republican
Suzanne Bonamici,Suzanne,,Bonamici,1954-10-14,F,2013-01-03,2015-01-03,OR,1,Democrat
Ron Barber,Ron,,Barber,1945-08-25,M,2013-01-03,2015-01-03,AZ,2,Democrat
Suzan K. DelBene,Suzan,K.,DelBene,1962-02-17,F,2013-01-03,2015-01-03,WA,1,Democrat
Thomas Massie,Thomas,,Massie,1971-01-13,M,2013-01-03,2015-01-03,KY,4,Republican
Donald M. Payne Jr.,Donald,M.,Payne,1958-12-17,M,2013-01-03,2015-01-03,NJ,10,Democrat
Matt Salmon,Matt,,Salmon,1958-01-21,M,2013-01-03,2015-01-03,AZ,5,Republican
Steve Stockman,Steve,,Stockman,1956-11-14,M,2013-01-03,2015-01-03,TX,36,Republican
Carol Shea-Porter,Carol,,Shea-Porter,1952-12-02,F,2013-01-03,2015-01-03,NH,1,Democrat
Bill Foster,Bill,,Foster,1955-10-07,M,2013-01-03,2015-01-03,IL,11,Democrat
Alan Grayson,Alan,,Grayson,1958-03-13,M,2013-01-03,2015-01-03,FL,9,Democrat
Ann Kirkpatrick,Ann,,Kirkpatrick,1950-03-24,F,2013-01-03,2015-01-03,AZ,1,Democrat
Daniel B. Maffei,Daniel,B.,Maffei,1968-07-04,M,2013-01-03,2015-01-03,NY,24,Democrat
Dina Titus,Dina,,Titus,1950-05-23,F,2013-01-03,2015-01-03,NV,1,Democrat
Tom Cotton,Tom,,Cotton,1977-05-13,M,2013-01-03,2015-01-03,AR,4,Republican
Kyrsten Sinema,Kyrsten,,Sinema,1976-07-12,F,2013-01-03,2015-01-03,AZ,9,Democrat
Doug LaMalfa,Doug,,LaMalfa,1960-07-02,M,2013-01-03,2015-01-03,CA,1,Republican
Jared Huffman,Jared,,Huffman,1964-02-18,M,2013-01-03,2015-01-03,CA,2,Democrat
Ami Bera,Ami,,Bera,1965-03-02,M,2013-01-03,2015-01-03,CA,7,Democrat
Paul Cook,Paul,,Cook,1943-03-03,M,2013-01-03,2015-01-03,CA,8,Republican
Eric Swalwell,Eric,,Swalwell,1980-11-16,M,2013-01-03,2015-01-03,CA,15,Democrat
David G. Valadao,David,G.,Valadao,1977-04-14,M,2013-01-03,2015-01-03,CA,21,Republican
Julia Brownley,Julia,,Brownley,1952-08-28,F,2013-01-03,2015-01-03,CA,26,Democrat
Tony Cárdenas,Tony,,Cárdenas,1963-03-31,M,2013-01-03,2015-01-03,CA,29,Democrat
Gloria Negrete McLeod,Gloria,,Negrete McLeod,1941-09-06,F,2013-01-03,2015-01-03,CA,35,Democrat
Raul Ruiz,Raul,,Ruiz,1972-08-25,M,2013-01-03,2015-01-03,CA,36,Democrat
Mark Takano,Mark,,Takano,1960-12-10,M,2013-01-03,2015-01-03,CA,41,Democrat
Alan S. Lowenthal,Alan,S.,Lowenthal,1941-03-08,M,2013-01-03,2015-01-03,CA,47,Democrat
Juan Vargas,Juan,,Vargas,1961-03-07,M,2013-01-03,2015-01-03,CA,51,Democrat
Scott H. Peters,Scott,H.,Peters,1958-06-17,M,2013-01-03,2015-01-03,CA,52,Democrat
Elizabeth H. Esty,Elizabeth,H.,Esty,1959-08-25,F,2013-01-03,2015-01-03,CT,5,Democrat
Ted S. Yoho,Ted,S.,Yoho,1955-04-13,M,2013-01-03,2015-01-03,FL,3,Republican
Ron DeSantis,Ron,,DeSantis,1978-09-14,M,2013-01-03,2015-01-03,FL,6,Republican
Patrick Murphy,Patrick,,Murphy,1983-03-30,M,2013-01-03,2015-01-03,FL,18,Democrat
Trey Radel,Trey,,Radel,1976-04-20,M,2013-01-03,2015-01-03,FL,19,Republican
Lois Frankel,Lois,,Frankel,1948-05-16,F,2013-01-03,2015-01-03,FL,22,Democrat
Joe Garcia,Joe,,Garcia,1963-10-19,M,2013-01-03,2015-01-03,FL,26,Democrat
Doug Collins,Doug,,Collins,1966-08-16,M,2013-01-03,2015-01-03,GA,9,Republican
Tulsi Gabbard,Tulsi,,Gabbard,1981-04-12,F,2013-01-03,2015-01-03,HI,2,Democrat
Tammy Duckworth,Tammy,,Duckworth,1968-03-12,F,2013-01-03,2015-01-03,IL,8,Democrat
Bradley S. Schneider,Bradley,S.,Schneider,1961-08-20,M,2013-01-03,2015-01-03,IL,10,Democrat
William L. Enyart,William,L.,Enyart,1949-09-22,M,2013-01-03,2015-01-03,IL,12,Democrat
Rodney Davis,Rodney,,Davis,1970-01-05,M,2013-01-03,2015-01-03,IL,13,Republican
Cheri Bustos,Cheri,,Bustos,1961-10-17,F,2013-01-03,2015-01-03,IL,17,Democrat
Jackie Walorski,Jackie,,Walorski,1963-08-17,F,2013-01-03,2015-01-03,IN,2,Republican
Susan W. Brooks,Susan,W.,Brooks,1960-08-25,F,2013-01-03,2015-01-03,IN,5,Republican
Luke Messer,Luke,,Messer,1969-02-27,M,2013-01-03,2015-01-03,IN,6,Republican
Andy Barr,Garland,,Barr,1973-07-24,M,2013-01-03,2015-01-03,KY,6,Republican
Joseph P. Kennedy III,Joseph,P.,Kennedy,1980-10-04,M,2013-01-03,2015-01-03,MA,4,Democrat
John K. Delaney,John,K.,Delaney,1963-04-16,M,2013-01-03,2015-01-03,MD,6,Democrat
Daniel T. Kildee,Daniel,T.,Kildee,1958-08-11,M,2013-01-03,2015-01-03,MI,5,Democrat
Kerry L. Bentivolio,Kerry,L.,Bentivolio,1951-10-06,M,2013-01-03,2015-01-03,MI,11,Republican
Richard M. Nolan,Richard,M.,Nolan,1943-12-17,M,2013-01-03,2015-01-03,MN,8,Democrat
Ann Wagner,Ann,,Wagner,1962-09-13,F,2013-01-03,2015-01-03,MO,2,Republican
Steve Daines,Steve,,Daines,1962-08-20,M,2013-01-03,2015-01-03,MT,0,Republican
Richard Hudson,Richard,,Hudson,1971-11-04,M,2013-01-03,2015-01-03,NC,8,Republican
Robert Pittenger,Robert,,Pittenger,1948-08-15,M,2013-01-03,2015-01-03,NC,9,Republican
Mark Meadows,Mark,,Meadows,1959-07-28,M,2013-01-03,2015-01-03,NC,11,Republican
George Holding,George,,Holding,1968-04-17,M,2013-01-03,2015-01-03,NC,13,Republican
Kevin Cramer,Kevin,,Cramer,1961-01-21,M,2013-01-03,2015-01-03,ND,0,Republican
Ann M. Kuster,Ann,M.,Kuster,1956-09-05,F,2013-01-03,2015-01-03,NH,2,Democrat
Michelle Lujan Grisham,Michelle,,Lujan Grisham,1959-10-24,F,2013-01-03,2015-01-03,NM,1,Democrat
Steven A. Horsford,Steven,A.,Horsford,1973-04-29,M,2013-01-03,2015-01-03,NV,4,Democrat
Grace Meng,Grace,,Meng,1975-10-01,F,2013-01-03,2015-01-03,NY,6,Democrat
Hakeem S. Jeffries,Hakeem,S.,Jeffries,1970-08-04,M,2013-01-03,2015-01-03,NY,8,Democrat
Sean Patrick Maloney,Sean,Patrick,Maloney,1966-07-30,M,2013-01-03,2015-01-03,NY,18,Democrat
Chris Collins,Chris,,Collins,1950-05-20,M,2013-01-03,2015-01-03,NY,27,Republican
Brad R. Wenstrup,Brad,R.,Wenstrup,1958-06-17,M,2013-01-03,2015-01-03,OH,2,Republican
Joyce Beatty,Joyce,,Beatty,1950-03-12,F,2013-01-03,2015-01-03,OH,3,Democrat
David P. Joyce,David,P.,Joyce,1957-03-17,M,2013-01-03,2015-01-03,OH,14,Republican
Jim Bridenstine,Jim,,Bridenstine,1975-06-15,M,2013-01-03,2015-01-03,OK,1,Republican
Markwayne Mullin,Markwayne,,Mullin,1977-07-26,M,2013-01-03,2015-01-03,OK,2,Republican
Scott Perry,Scott,,Perry,1962-05-27,M,2013-01-03,2015-01-03,PA,4,Republican
Keith J. Rothfus,Keith,J.,Rothfus,1962-04-25,M,2013-01-03,2015-01-03,PA,12,Republican
Matt Cartwright,Matthew,A.,Cartwright,1961-05-01,M,2013-01-03,2015-01-03,PA,17,Democrat
Tom Rice,Tom,,Rice,1957-08-04,M,2013-01-03,2015-01-03,SC,7,Republican
Randy K. Weber Sr.,Randy,K.,Weber,1953-07-02,M,2013-01-03,2015-01-03,TX,14,Republican
Beto O'Rourke,Beto,,O'Rourke,1972-09-26,M,2013-01-03,2015-01-03,TX,16,Democrat
Joaquin Castro,Joaquin,,Castro,1974-09-16,M,2013-01-03,2015-01-03,TX,20,Democrat
Pete P. Gallego,Pete,P.,Gallego,1961-12-02,M,2013-01-03,2015-01-03,TX,23,Democrat
Roger Williams,Roger,,Williams,1949-09-13,M,2013-01-03,2015-01-03,TX,25,Republican
Marc A. Veasey,Marc,A.,Veasey,1971-01-03,M,2013-01-03,2015-01-03,TX,33,Democrat
Filemon Vela,Filemon,,Vela,1963-02-13,M,2013-01-03,2015-01-03,TX,34,Democrat
Chris Stewart,Chris,,Stewart,1960-07-15,M,2013-01-03,2015-01-03,UT,2,Republican
Derek Kilmer,Derek,,Kilmer,1974-01-01,M,2013-01-03,2015-01-03,WA,6,Democrat
Denny Heck,Denny,,Heck,1952-07-29,M,2013-01-03,2015-01-03,WA,10,Democrat
Mark Pocan,Mark,,Pocan,1964-08-14,M,2013-01-03,2015-01-03,WI,2,Democrat
Robin L. Kelly,Robin,,Kelly,1956-04-30,F,2013-04-09,2015-01-03,IL,2,Democrat
Mark Sanford,Marshall,,Sanford,1960-05-28,M,2013-05-15,2015-01-03,SC,1,Republican
Jason T. Smith,Jason,T.,Smith,1980-06-16,M,2013-06-04,2015-01-03,MO,8,Republican
